APPL_ID,SITE_ID,CLNT_NAME,FREQ,FREQ_PAIR,BWIDTH,EQ_MDL,STN_NAME,STN_ADDR,SID_LONG,SID_LAT,CIRCUIT_LEN,LAT_DEG,LAT_MIN,LAT_SEC,LAT_DIR_IND,LONG_DEG,LONG_MIN,LONG_SEC,LONG_DIR_IND,CURR_LIC_NUM,APPL_DATE,TO_APPL_ID,MASA_LAKU,STASIUN_LAWAN,TO_LAT_DEG,TO_LAT_MIN,TO_LAT_SEC,TO_LAT_DIR_IND,TO_LONG_DEG,TO_LONG_MIN,TO_LONG_SEC,TO_LONG_DIR_IND
2.06E+12,1,"INDOSAT TBK, PT.",22442,23450,28000,23G_XMC2_256Q_28M_183M,030659_PAKAN LADANG,JL. RAYA TIGO BALEH KOTO KACIAK PAKAN LADANG KEC.AUR KUNING TIGO BALEH KODYA BUKIT TINGGI,100.4028111,-0.31143889,1.412,0,18,41.18,S,100,24,10.12,E,02933916-000SU/2620242029,7-Nov-24,2.06E+12,13-Nov-26,030704_KAMPUANG NAN LIMO,0,17,55.275,S,100,24,7.875,E
2.46E+12,2,"INDOSAT TBK, PT.",23366,,28000,23G_XMC2_128Q_28M_157M,030700_PINTU ANGIN,"Bonjo Alam, Agam, Sumatera Barat, Sumatera, 26126, Indonesia",100.4021875,-0.2986875,1.421,0,17,55.275,S,100,24,7.875,E,02496858-000SU/2620212026,23-Jan-26,2.46E+12,1-Nov-26,030659_PAKAN LADANG,0,18,41.18,S,100,24,10.12,E
2.06E+12,1,"TELEKOMUNIKASI SELULAR, PT.",23114,22106,28000,ERICSSON ML 23TN,BKT136_TANJUNG ALAM,JL  TANJUNG ALAM DESA TANJUNGALAM KEC IV ANGKAT AGAM,100.4099375,-0.2938125,1.017,0,17,37.725,S,100,24,35.775,E,02157540-000SU/2620192024,8-Nov-24,2.06E+12,8-Oct-26,BKT106_PARIK PUTUIH,0,17,55.275,S,100,24,7.875,E
2.46E+12,1,"INDOSAT TBK, PT.",22218,,28000,23G_XMC2_128Q_28M_157M,030659_PAKAN LADANG,JL. RAYA TIGO BALEH KOTO KACIAK PAKAN LADANG KEC.AUR KUNING TIGO BALEH KODYA BUKIT TINGGI,100.4028111,-0.31143889,1.421,0,18,41.18,S,100,24,10.12,E,02496855-000SU/2620212026,23-Jan-26,2.46E+12,1-Nov-26,030700_PINTU ANGIN,0,17,55.275,S,100,24,7.875,E
2.48E+12,2,TELEKOMUNIKASI INDONESIA TBK,23478,22470,28000,MINI-LINK CN 210/CN510-23GHZ,LBB172_Biaro,JL. BIARO LASI JORONG BIARO KEWALINAGARIAN BIARO GADANG KEC.IV ANGKAT AGAM,100.4317,-0.2895,2.07,0,17,22.2,S,100,25,54.12,E,02511856-000SU/2620212026,16-Dec-21,2.48E+12,16-Dec-26,LBB274_Panampuang Angkek,0,16,16.75,S,100,26,10.32,E
2.48E+12,2,TELEKOMUNIKASI INDONESIA TBK,14473,14963,28000,MINI-LINK CN 210/CN510-15 GHZ,LBB244_Batu Kambing,Batu Kambing Jorong Pasar Kel.Batu Kambing kec.Ampe Nagari Kab.Agam,100.0606444,-0.20158611,3.02,0,12,5.71,S,100,3,38.32,E,02511012-000SU/2620212026,15-Dec-21,2.48E+12,15-Dec-26,LBB282_BATU KAMBING,0,11,33.79,S,100,5,10.57,E
25386022017,2,"INDOSAT TBK, PT.",13020.5,12754.5,7000,IPASOLINK 100E KAPASITAS  10-400 MBPS FREKUENSI 13 GHZ,BTS BAWAAN,"JL. LINTAS PASAMAN - PARIAMAN, DUSUN BAWAAN TUO JORONG BAWAAN",100.0291861,-0.18006111,2.806,0,10,48.22,S,100,1,45.07,E,01930458-000SU/2620172022,13-May-24,25386022017,22-Feb-27,PT APLIKANUSA LINTASARTA,0,9,16.87,S,100,1,43.72,E
2.00E+12,1,TELEKOMUNIKASI INDONESIA TBK,10955,11485,40000,ERICSSON MINI-LINK 6651 11 GHz 6363,LBB015_Bawan,"Lubuk Basung, Kec. Lubuk Basung, Kabupaten Agam, Sumatera Barat 26161",100.04831,-0.2611,7.087,0,15,39.96,S,100,2,53.916,E,02867997-000SU/2620242029,17-May-24,2.00E+12,6-Jun-26,LBB001_PT Kammu,0,15,49.392,S,99,59,4.92,E
2.05E+12,1,"TELEKOMUNIKASI SELULAR, PT.",15243,14753,28000,ERICSSON MINILINK TN_MLTN 15Ghz 4E1,LBB039_BAWAN ALUNG,JORONG LUBUK ALUNG NAGARI III KOTO KEC. IV NAGARI AGAM,99.9906875,-0.2379375,3.035,0,14,16.575,S,99,59,26.475,E,02145345-000SU/2620192024,10-Dec-24,2.05E+12,16-Sep-26,LBB001_PT KAMMU,0,15,52.875,S,99,59,4.425,E
2.06E+12,1,"TELEKOMUNIKASI SELULAR, PT.",15215,14725,28000,ERICSSON MINILINK TN_ML 15E HP 4E1,LBB039_Bawan Alung,JORONG LUBUK ALUNG NAGARI III KOTO KEC. IV NAGARI AGAM,99.9906875,-0.2379375,3.035,0,14,16.575,S,99,59,26.475,E,02160535-000SU/2620192024,10-Dec-24,2.06E+12,12-Oct-26,LBB001_PT KAMU,0,15,52.875,S,99,59,4.425,E
2.08E+12,3,"INDOSAT TBK, PT.",10755,,40000,RTN 900 10.7 GHZ,03LBU0013_NAGARI_BAWAN_CM,"Bawan, Kec. IV Nagari, Kabupaten Agam, Sumatera Barat 26161",100.0065639,-0.22306389,4.958,0,13,23.03,S,100,0,23.63,E,02952267-000SU/2620252030,6-Feb-25,2.08E+12,20-Feb-27,03LBU0011_RAYA_TIKU_PL,0,15,48.82,S,99,59,14.77,E
2.05E+12,2,"TELEKOMUNIKASI SELULAR, PT.",7303,7142,28000,MINI-LINK CN 210/CN510-7/8GHZ,LBB092_TOWER BASUNG,JL PT AMP PLANTATIONJORONG ANAK AIR KASIANG NAGARI BAWAN  KEC AMPEK NAGARI KAB AGAM,99.9230625,-0.1980625,28.619,0,11,53.025,S,99,55,23.025,E,02149513-000SU/2620192024,4-Nov-24,2.05E+12,23-Sep-26,LSK148_KINALI,0,3,37.575,N,99,54,37.125,E
2.07E+12,2,"TELEKOMUNIKASI SELULAR, PT.",7233,7394,14000,MINI-LINK CN 210/CN510-7/8GHZ,LBB092_Tower Basung,JL PT AMP PLANTATIONJORONG ANAK AIR KASIANG NAGARI BAWAN  KEC AMPEK NAGARI KAB AGAM,99.9230625,-0.1980625,28.619,0,11,53.025,S,99,55,23.025,E,02177358-000SU/2620192024,26-Nov-24,2.07E+12,31-Oct-26,LSK148_Kinali,0,3,37.575,N,99,54,37.125,E
2.16E+12,2,"TELEKOMUNIKASI SELULAR, PT.",15159,14669,28000,MINI-LINK CN 210/CN510-15 GHZ,LBB039_BAWAN ALUNG,JORONG LUBUK ALUNG NAGARI III KOTO KEC. IV NAGARI AGAM,99.9906875,-0.2379375,3.035,0,14,16.575,S,99,59,26.475,E,02282396-000SU/2620202025,10-Dec-24,2.16E+12,25-May-26,LBB001_PT. KAMU,0,15,52.875,S,99,59,4.425,E
2.48E+12,1,TELEKOMUNIKASI INDONESIA TBK,14963,14473,28000,MINI-LINK CN 210/CN510-15 GHZ,LBB282_BATU KAMBING,"Jorong Tandikek Nagari Sitalang Kecamatan Ampek Nagari, Kabupaten Agam Propinsi Sumatera Barat",100.0862694,-0.19271944,3.02,0,11,33.79,S,100,5,10.57,E,02511011-000SU/2620212026,15-Dec-21,2.48E+12,15-Dec-26,LBB244_Batu Kambing,0,12,5.71,S,100,3,38.32,E
2.91E+12,2,"TELEKOMUNIKASI SELULAR, PT.",7233,7394,14000,MINI-LINK CN 210/CN510-7/8GHZ,LBB092_Tower Basung,JL PT AMP PLANTATIONJORONG ANAK AIR KASIANG NAGARI BAWAN  KEC AMPEK NAGARI KAB AGAM,99.9230625,-0.1980625,28.619,0,11,53.025,S,99,55,23.025,E,02763236-000SU/2620232028,7-Nov-24,2.91E+12,24-Sep-26,LSK148_KINALI,0,3,37.575,N,99,54,37.125,E
2.75E+12,1,"TELEKOMUNIKASI SELULAR, PT.",7226,,28000,MINI-LINK CN 210/CN510-7/8GHZ,LBB092_Tower Basung,JL PT AMP PLANTATIONJORONG ANAK AIR KASIANG NAGARI BAWAN  KEC AMPEK NAGARI KAB AGAM,99.9230625,-0.1980625,28.619,0,11,53.025,S,99,55,23.025,E,02633673-000SU/2620222027,6-Jan-25,2.75E+12,18-Dec-26,LSK148_Kinali,0,3,37.575,N,99,54,37.125,E
2.15E+12,1,"INDOSAT TBK, PT.",23086,22078,28000,UBT T,032085_032085_PERTOKOAN_PADANG_LUAR_3G,"Jorong cingkariang, Nagari cingkariang, Kec.Banuhampu Kab.Agam Prop. Sumatera BaratNagari CingkariangKecamatan Banuhampu",100.3860278,-0.35355556,1.25,0,21,12.8,S,100,23,9.7,E,02271263-000SU/2620202025,27-Apr-20,2.15E+12,26-Apr-26,030780_PADANG_LUAR,0,20,35.7,S,100,23,26.5,E
2.15E+12,2,"INDOSAT TBK, PT.",22078,23086,28000,UBT T,030780_PADANG_LUAR,"Jl. Parit Lintang Nagari Ladang Laweh, Kec. Banuhampu, Agam",100.3906944,-0.34325,1.25,0,20,35.7,S,100,23,26.5,E,02271264-000SU/2620202025,27-Apr-20,2.15E+12,26-Apr-26,032085_032085_PERTOKOAN_PADANG_LUAR_3G,0,21,12.8,S,100,23,9.7,E
